n,t,x,y,
0,1,305,107
0,2,305,114
0,3,302,122
0,4,300,127
0,5,295,134
0,6,289,140
0,7,283,146
0,8,277,152
0,9,269,157
0,10,261,161
0,11,255,165
0,12,248,168
0,13,240,173
0,14,233,179
0,15,223,180
0,16,213,184
0,17,205,185
0,18,193,186
0,19,183,184
0,20,171,188
0,21,152,189
0,22,144,193
0,23,135,193
0,24,127,197
0,25,121,199
0,26,118,202
0,27,109,204
0,28,105,209
0,29,96,214
0,30,94,220
0,31,92,226
0,32,90,232
0,33,86,237
0,34,85,246
0,35,84,256
0,36,85,266
0,37,83,275
0,38,82,286
0,39,81,297
0,40,83,308
0,41,83,317
0,42,85,329
0,43,86,337
0,44,91,345
0,45,97,354
0,46,101,362
0,47,103,370
0,48,106,375
0,49,110,384
0,50,117,387
0,51,120,389
0,52,126,394
0,53,130,396
0,54,136,398
0,55,141,397
0,56,149,397
0,57,156,394
0,58,161,393
0,59,169,391
0,60,172,387
0,61,177,384
0,62,182,377
0,63,190,368
0,64,196,363
0,65,203,357
0,66,208,354
0,67,218,351
0,68,227,346
0,69,234,342
0,70,243,342
0,71,250,339
0,72,257,339
0,73,264,340
0,74,270,340
0,75,275,340
0,76,287,342
0,77,296,344
0,78,304,348
0,79,315,351
0,80,323,358
0,81,330,363
0,82,340,369
0,83,349,374
0,84,358,381
0,85,367,386
0,86,380,392
0,87,391,397
0,88,402,403
0,89,413,408
0,90,427,412
0,91,440,415
0,92,453,417
0,93,467,420
0,94,479,423
0,95,496,420
0,96,512,424
0,97,528,425
0,98,540,424
0,99,556,422
0,100,572,422
0,101,586,423
0,102,601,420
0,103,615,418
0,104,633,419
0,105,648,421
0,106,663,421
0,107,678,428
0,108,690,432
0,109,703,432
0,110,717,433
0,111,731,438
0,112,743,438
0,113,756,438
0,114,768,438
0,115,777,437
0,116,790,435
0,117,802,431
0,118,812,430
0,120,821,429
0,121,830,440
0,122,836,441
0,123,838,443
0,124,847,445
0,125,844,447
0,126,848,448
0,127,854,446
0,128,854,446
0,129,854,446
0,130,854,446
0,131,854,455
0,132,856,462
0,133,857,459
0,134,861,467
0,135,866,472
0,136,868,475
0,137,870,475
0,138,872,475
0,139,878,477
0,140,878,478
0,141,879,481
0,142,885,481
0,143,885,481
0,144,887,480
0,146,895,479
0,145,888,479
0,147,896,480
0,148,903,480
0,149,907,478
0,150,908,475
0,151,909,474
0,152,913,471
0,153,915,468
0,154,918,469
0,155,919,467
0,156,921,462
0,157,921,458
0,158,923,454
0,159,923,448
0,160,926,442
0,161,926,442
0,162,926,430
0,163,928,421
0,164,925,415
0,165,923,408
0,166,922,399
0,167,923,391
0,168,918,381
0,169,908,370
0,170,904,364
0,171,901,359
0,172,895,353
0,173,888,342
0,174,878,336
0,175,870,331
0,176,861,324
0,177,850,320
0,178,842,315
0,179,830,313
0,180,819,311
0,181,805,307
0,182,794,309
0,183,784,310
0,184,767,310
0,185,750,308
0,186,744,309
0,187,726,309
0,188,706,313
0,189,700,309
0,190,686,309
0,191,672,308
0,192,657,308
0,193,641,306
0,194,630,303
0,195,617,298
0,196,601,290
0,197,590,285
0,198,576,280
0,199,567,274
0,200,559,267
0,201,545,255
0,202,542,254
0,203,532,243
0,204,525,231
0,205,519,224
0,206,515,216
0,207,514,208
0,208,512,202
0,209,509,190
0,210,507,181
0,211,510,174
0,212,510,165
0,213,514,159
0,214,512,146
0,215,520,135
0,216,524,125
0,217,536,114
0,218,540,104
0,219,550,98
